id,voted16,trump16,clinton16,voted12,obama12,romney12,democrat,republican,liberal,conservative,age,female,white,black,hispanic,asian,income100,church,south,apprentice,homealone2
208,1,1,0,1,0,1,0,0,0,1,43,1,1,0,0,0,0,0,1,0,1
209,1,0,0,1,1,0,0,1,0,0,34,0,1,0,0,0,0,0,1,0,1
210,1,0,0,1,1,0,1,0,0,0,67,0,0,1,0,0,1,0,1,0,0
211,1,0,1,1,0,1,1,0,1,0,60,1,1,0,0,0,0,0,0,0,1
212,0,0,0,1,1,0,1,0,0,0,64,1,1,0,0,0,0,0,0,0,1
213,1,0,1,1,1,0,1,0,0,0,48,0,1,0,0,0,0,0,0,0,1
214,1,1,0,1,0,1,0,0,0,1,47,1,1,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,1,0,0,0,0,1
216,1,0,0,1,1,0,1,0,0,0,48,0,0,0,1,0,0,0,0,1,0
217,0,0,0,1,1,0,1,0,0,0,42,0,0,1,0,0,0,0,1,0,0
218,0,0,0,1,1,0,1,0,1,0,62,0,1,0,0,0,0,0,1,0,1
219,1,0,1,0,0,0,1,0,0,0,20,0,0,1,0,0,0,0,1,0,0
220,0,0,0,1,1,0,1,0,1,0,72,0,1,0,0,0,0,1,0,1,1
221,1,0,0,1,0,1,0,1,0,1,39,0,1,0,0,0,0,1,1,0,0
222,0,0,0,1,1,0,1,0,1,0,23,1,1,0,0,0,0,0,0,0,1
223,1,1,0,1,1,0,1,0,0,0,61,0,1,0,0,0,0,0,0,0,0
224,1,0,1,1,1,0,1,0,1,0,41,0,1,0,0,0,0,0,1,0,1
225,1,0,1,1,1,0,1,0,1,0,68,1,1,0,0,0,0,0,0,0,0
226,0,0,0,1,1,0,1,0,1,0,28,0,1,0,0,0,1,1,0,0,0
227,0,0,0,1,1,0,0,1,1,0,35,0,1,0,0,0,0,1,0,0,1
228,1,0,0,0,0,0,1,0,0,1,36,0,0,0,1,0,0,0,0,0,0
229,1,1,0,1,0,1,0,1,0,1,36,1,1,0,0,0,0,0,1,0,0
230,1,0,0,1,1,0,0,0,1,0,66,1,1,0,0,0,0,0,0,1,1
231,1,1,0,1,0,1,0,1,0,1,49,0,1,0,0,0,0,0,0,0,1
232,0,0,0,1,0,1,0,1,0,1,61,0,0,0,1,0,0,1,1,0,1
233,1,0,1,1,1,0,0,0,0,0,69,0,1,0,0,0,0,0,0,1,0
234,1,0,1,0,0,0,0,0,0,0,45,1,1,0,0,0,0,0,1,1,0
235,0,0,0,1,1,0,0,0,1,0,41,0,1,0,0,0,0,0,0,0,1
236,1,1,0,1,0,1,0,1,0,1,54,1,1,0,0,0,0,0,0,0,0
237,0,0,0,1,1,0,1,0,1,0,62,0,1,0,0,0,0,0,1,0,0
238,1,1,0,1,0,1,0,1,0,1,54,1,1,0,0,0,0,1,0,0,1
239,0,0,0,1,1,0,1,0,0,1,29,1,0,1,0,0,0,1,0,0,1
240,1,0,1,1,1,0,1,0,1,0,66,0,1,0,0,0,0,0,0,0,1
241,1,0,0,1,0,1,0,1,0,0,39,1,1,0,0,0,0,1,0,0,1
242,0,0,0,0,0,0,0,0,0,1,55,1,0,1,0,0,0,0,1,1,0
243,0,0,0,0,0,0,0,0,0,0,68,1,1,0,0,0,0,0,0,0,0
244,0,0,0,1,1,0,0,0,0,1,36,0,0,0,1,0,1,0,0,0,0
245,1,0,1,1,1,0,1,0,1,0,84,0,1,0,0,0,1,0,0,1,1
246,0,0,0,0,0,0,0,0,0,1,38,0,1,0,0,0,1,1,1,1,1
247,1,1,0,1,0,1,0,1,0,1,51,0,1,0,0,0,1,1,0,0,0
248,0,0,0,0,0,0,1,0,1,0,21,0,1,0,0,0,0,0,0,0,1
249,0,0,0,0,0,0,1,0,1,0,35,1,0,1,0,0,0,0,1,0,0
250,0,0,0,0,0,0,1,0,0,1,30,1,1,0,0,0,0,0,1,0,0
251,1,0,1,1,1,0,1,0,1,0,72,0,1,0,0,0,0,0,1,0,0
252,1,0,1,1,1,0,1,0,1,0,63,0,1,0,0,0,0,1,0,0,1
253,1,0,0,1,1,0,1,0,0,1,44,1,0,1,0,0,0,1,1,1,1
254,1,0,1,1,1,0,1,0,0,0,52,0,0,1,0,0,0,1,0,0,1
255,1,1,0,1,0,1,0,0,0,1,61,1,1,0,0,0,0,0,0,0,0
256,0,0,0,1,1,0,0,0,0,1,38,0,0,1,0,0,0,0,1,0,0
257,0,0,0,1,1,0,0,0,0,0,44,0,1,0,0,0,1,0,1,0,0
258,0,0,0,0,0,0,0,1,1,0,23,1,0,1,0,0,0,1,0,1,0
259,0,0,0,1,0,1,0,0,0,1,68,0,1,0,0,0,1,0,0,1,1
260,1,1,0,1,0,1,0,1,0,0,54,0,0,0,1,0,0,0,0,0,0
261,1,1,0,1,0,1,0,1,0,1,66,1,1,0,0,0,0,0,0,0,1
262,0,0,0,1,0,0,0,0,0,0,53,0,1,0,0,0,1,0,0,0,1
263,0,0,0,0,0,0,1,0,1,0,23,1,1,0,0,0,0,0,0,0,0
